unique_carrier,origin,destination,is_delayed,departure_time,month,day_of_month,day_of_week,distance
IQ,CNY,VUT,Y,1714,M-1,D-31,W-1,842
NB,QTX,QTP,N,2143,M-6,D-13,W-2,236
XJ,QYV,YTL,N,1209,M-10,D-12,W-3,374
WP,HSR,MQV,N,1212,M-7,D-17,W-1,599
HL,MGF,DTX,N,1253,M-1,D-8,W-6,614
NB,QTP,TCZ,N,1835,M-6,D-15,W-3,487
NB,SBH,PQM,N,924,M-8,D-11,W-5,422
OZ,HSR,JGG,N,1006,M-6,D-8,W-4,273
NB,PTV,RTQ,N,1540,M-8,D-11,W-4,248
WP,MQV,VUT,Y,2352,M-11,D-26,W-7,508
HH,PCT,RJB,N,1420,M-1,D-8,W-6,916
AG,YTR,ORV,N,810,M-7,D-12,W-3,94
TT,OYT,YBR,Y,1855,M-7,D-21,W-5,1021
TT,PVQ,QTX,N,1235,M-12,D-6,W-3,1593
NB,QTP,OMY,N,1425,M-2,D-1,W-3,1140
TP,HTE,PJT,N,2024,M-6,D-29,W-4,671
NB,QTX,HTE,N,1900,M-7,D-23,W-7,337
WT,OYT,RJB,N,1648,M-2,D-25,W-6,1709
NB,PTB,PDM,N,1815,M-12,D-5,W-1,417
TT,YBR,HSR,N,1308,M-9,D-18,W-7,177
HL,CWI,MGF,N,1350,M-5,D-28,W-7,410
HL,MGF,OMY,N,1826,M-3,D-16,W-4,539
RQ,DIE,PJT,N,1725,M-8,D-30,W-3,2421
HH,RJB,CYP,N,1835,M-11,D-11,W-5,517
BN,CKB,OPU,N,841,M-8,D-1,W-1,874
TT,PBT,RIN,N,1103,M-11,D-19,W-6,1205
XJ,MOL,JNS,Y,2042,M-4,D-17,W-1,462
XJ,UNO,JNS,N,608,M-8,D-23,W-3,284
WP,MQV,OAS,N,1540,M-11,D-23,W-4,156
OZ,OYT,SYM,N,2040,M-6,D-14,W-2,826
WP,QTP,QTX,N,1406,M-5,D-5,W-5,236
AG,MTJ,ULQ,Y,1815,M-4,D-13,W-4,522
HH,QTX,POI,N,1800,M-3,D-2,W-4,373
HH,PJT,URX,N,1405,M-1,D-15,W-7,129
HH,HSR,MGF,Y,1603,M-12,D-14,W-4,264
NB,PDM,SBH,N,1905,M-7,D-14,W-4,188
XJ,QML,YTL,N,551,M-8,D-22,W-2,127
JG,TVQ,RPO,N,955,M-10,D-4,W-3,743
BN,OPU,ITS,N,1119,M-7,D-5,W-2,223
IQ,SYM,OMH,Y,1137,M-8,D-13,W-7,667
XJ,RTQ,YTL,N,758,M-1,D-17,W-2,217
NB,PQM,HTE,N,1550,M-9,D-30,W-5,588
HL,MGF,UIB,N,1458,M-11,D-12,W-6,612
XJ,JNS,RVN,N,654,M-9,D-27,W-3,487
WP,ULX,ULQ,Y,1007,M-9,D-30,W-6,2075
HL,MGF,PMJ,N,1049,M-7,D-5,W-2,383
JG,TVQ,TUI,Y,2020,M-5,D-19,W-4,540
NB,PBT,ULX,N,1420,M-5,D-13,W-5,338
NB,OMY,QTX,Y,1707,M-7,D-21,W-5,1363
MH,QFT,YTL,N,2011,M-7,D-31,W-1,1416
HH,UYV,HSR,N,1435,M-11,D-11,W-6,412
NB,OMY,HTE,N,1200,M-11,D-2,W-3,1489
I9,PJT,RJB,N,1430,M-2,D-11,W-6,1024
HH,PQM,PFW,N,939,M-12,D-19,W-1,269
XJ,MQJ,HSI,N,1139,M-8,D-1,W-1,435
MH,OYT,JNS,N,1959,M-9,D-13,W-3,1086
BN,TCZ,OPU,N,826,M-1,D-7,W-6,981
IQ,CNY,CHP,Y,2144,M-1,D-31,W-2,370
HH,PJT,PQM,N,1837,M-3,D-24,W-5,689
RQ,RIN,TVQ,Y,2204,M-7,D-6,W-3,732
HL,UCY,MGF,Y,1145,M-2,D-16,W-4,892
WT,QFT,RJB,N,1100,M-9,D-9,W-5,1619
BN,OMH,RVN,N,1127,M-3,D-4,W-6,957
XJ,YTL,CUV,Y,2235,M-11,D-10,W-5,79
OZ,RIN,QCC,N,1039,M-8,D-29,W-2,282
OZ,PUP,RIN,N,1554,M-9,D-19,W-2,113
WT,RJB,PQM,N,1457,M-12,D-6,W-3,391
WP,ULX,TCZ,N,1506,M-4,D-3,W-1,328
TT,OMY,HSR,N,847,M-2,D-3,W-4,403
NB,RTQ,PTV,Y,1341,M-1,D-10,W-1,248
OZ,TMV,RIN,N,1434,M-12,D-3,W-6,89
WP,OPU,QTP,N,852,M-10,D-29,W-7,1300
XJ,FSS,MQJ,N,920,M-3,D-31,W-5,214
TT,HSR,JNS,N,1958,M-2,D-26,W-6,719
RL,DIE,YTR,Y,2344,M-10,D-10,W-1,228
TT,RIN,PVQ,N,1921,M-2,D-3,W-5,551
XJ,JNS,MGF,N,1542,M-8,D-1,W-1,569
OZ,RIN,FSS,Y,1330,M-8,D-13,W-7,931
HH,PWB,PQM,N,942,M-10,D-5,W-3,223
OZ,UYT,HSR,N,1820,M-12,D-19,W-2,130
WP,MQV,RIN,N,755,M-5,D-1,W-1,936
TT,TWP,RIN,N,925,M-12,D-2,W-6,190
WP,MQV,PJT,N,924,M-7,D-9,W-7,2279
WT,RIN,HSR,N,743,M-4,D-11,W-2,802
OZ,MYR,RIN,N,1446,M-5,D-23,W-2,685
BN,OPU,TVQ,N,706,M-3,D-9,W-3,906
RQ,TVQ,OMY,N,1647,M-7,D-12,W-3,692
OZ,PCT,QTX,N,1527,M-2,D-25,W-5,89
WP,QTX,ULX,Y,1619,M-12,D-3,W-7,370
RQ,MGF,TVQ,N,1644,M-1,D-15,W-7,373
TP,PIH,PJT,Y,1343,M-5,D-19,W-4,679
WT,RJB,URX,N,2113,M-8,D-7,W-1,992
WP,ULX,URX,N,1004,M-7,D-17,W-1,1009
JG,TVQ,UYV,Y,1805,M-11,D-16,W-4,526
JG,TVQ,UNO,N,1246,M-4,D-23,W-7,1027
TT,ULQ,RIN,N,1702,M-9,D-10,W-7,1302
HL,QJX,MGF,N,652,M-10,D-8,W-6,70
NB,VUT,OPA,N,741,M-10,D-3,W-2,487
IQ,CNY,CHP,N,905,M-11,D-27,W-1,370
BN,RVN,ULQ,N,1900,M-8,D-24,W-4,453
WP,OMH,ULQ,N,1903,M-9,D-15,W-4,861
WP,RJB,ULX,N,556,M-5,D-22,W-1,602
BN,RVN,CNY,N,1352,M-5,D-19,W-4,408
WT,YTR,PDM,Y,1805,M-10,D-14,W-6,2400
OZ,RIN,IPO,Y,2057,M-5,D-29,W-1,228
NB,VUT,CNY,N,1255,M-4,D-24,W-7,842
LU,ULX,SRW,N,1307,M-11,D-3,W-4,1891
BN,RVN,HSI,N,1710,M-2,D-16,W-3,529
C6,VUT,CHP,N,1928,M-4,D-12,W-2,1185
HH,OPU,PQM,N,1229,M-6,D-5,W-1,991
C6,UCY,DIE,N,1639,M-3,D-24,W-4,1028
BN,OJO,YTL,N,1943,M-6,D-5,W-7,469
NB,ULQ,CBT,N,652,M-12,D-8,W-5,675
MH,YTL,QFT,N,638,M-4,D-15,W-5,1416
BN,PJT,OJO,N,1229,M-10,D-5,W-3,1870
HH,ITS,HSR,N,1219,M-1,D-19,W-3,557
TT,DIE,QTX,N,1701,M-3,D-12,W-7,2475
JG,VWQ,TVQ,Y,1850,M-8,D-10,W-3,674
JG,IQH,TVQ,N,1730,M-10,D-2,W-7,273
RQ,TVQ,CBT,N,2111,M-5,D-12,W-4,214
WT,HSR,QFT,N,559,M-5,D-21,W-7,733
WP,MQV,CHP,N,1118,M-1,D-17,W-2,728
AG,RJB,RSH,N,1849,M-1,D-17,W-2,251
TT,HSR,JNS,N,1117,M-10,D-27,W-4,719
NB,OMH,LHW,Y,950,M-12,D-22,W-4,848
TT,SRW,HSR,N,802,M-12,D-3,W-6,647
OZ,CHP,SRW,N,1401,M-7,D-28,W-4,612
IQ,OEJ,OMH,N,806,M-1,D-25,W-3,1066
BN,RVN,CVG,Y,1811,M-8,D-21,W-7,536
MH,JNS,TVQ,N,629,M-3,D-10,W-5,745
WT,ORN,RJB,Y,1516,M-12,D-22,W-4,895
HH,RTA,HSR,Y,1033,M-6,D-30,W-4,240
LU,RMT,ULX,N,1656,M-9,D-7,W-3,1979
TT,RIN,RVN,N,1646,M-11,D-2,W-4,987
NB,RTQ,LHW,N,1630,M-6,D-10,W-5,239
XJ,MQJ,OLV,N,1904,M-1,D-30,W-7,544
NB,LHW,LSQ,N,1220,M-12,D-1,W-5,276
XJ,HEM,YTL,N,929,M-7,D-31,W-1,395
HL,MTE,TVQ,N,730,M-11,D-21,W-1,528
XJ,CVS,YTL,N,929,M-4,D-3,W-1,253
RQ,MGF,OMH,N,1917,M-8,D-8,W-1,756
NB,JQU,QTP,N,805,M-7,D-8,W-5,584
IQ,TVQ,SYM,N,1633,M-4,D-28,W-5,481
HH,PIH,OSA,Y,1559,M-2,D-2,W-4,77
AG,OQY,HSR,N,659,M-6,D-29,W-4,139
JG,TVQ,YMV,Y,2250,M-9,D-5,W-1,781
AG,OPU,MQV,N,1640,M-8,D-23,W-3,930
NB,TOT,RTQ,N,1819,M-3,D-13,W-1,324
IQ,MTE,CHP,N,1541,M-1,D-29,W-7,549
OZ,PRI,HSR,N,1558,M-9,D-16,W-5,286
NB,DTX,CLO,N,1050,M-10,D-25,W-3,365
TT,RIN,PTB,N,1320,M-6,D-11,W-7,1171
WP,MQV,CRQ,N,2136,M-2,D-12,W-6,644
OZ,HSR,XBT,Y,1927,M-8,D-28,W-1,522
BN,PTV,RVN,N,837,M-1,D-25,W-3,1215
BN,OPU,QFT,N,1537,M-4,D-17,W-1,1020
XJ,CSH,YTL,N,818,M-1,D-5,W-4,308
MH,YTL,IQQ,N,731,M-8,D-8,W-2,965
OZ,SPV,HSR,N,1724,M-11,D-20,W-1,268
NB,UYV,ORN,N,1115,M-1,D-24,W-2,402
NB,CBT,YPU,N,1310,M-3,D-21,W-1,803
XJ,MQJ,CVG,N,1754,M-5,D-21,W-6,489
NB,VUT,DTX,N,1640,M-7,D-4,W-1,180
TT,RJB,RIN,N,738,M-2,D-22,W-3,641
HH,HSR,ITS,Y,1053,M-12,D-15,W-5,557
LU,CWS,ULX,N,1239,M-2,D-28,W-1,369
NB,YPU,OMH,N,1050,M-4,D-24,W-7,972
NB,LHW,DTB,Y,1610,M-1,D-28,W-5,359
HH,PQM,JEH,N,802,M-4,D-15,W-6,200
NB,JQU,RTQ,N,1639,M-9,D-19,W-2,562
HH,QTX,POX,N,1358,M-9,D-27,W-2,135
NB,LHW,CBT,N,1938,M-1,D-6,W-5,670
TT,HTE,RIN,N,623,M-8,D-7,W-1,1456
HH,QTX,PBT,N,1318,M-9,D-26,W-1,36
RQ,CLO,TVQ,N,1110,M-8,D-6,W-6,134
BN,OPU,URX,N,2123,M-2,D-14,W-1,1426
IQ,TVQ,OPU,Y,1831,M-9,D-5,W-2,906
RQ,MGF,PTV,Y,2119,M-6,D-13,W-1,1024
RQ,QTX,PQM,N,626,M-12,D-3,W-7,590
NB,VUT,LHW,N,1512,M-9,D-5,W-2,781
HH,CHY,QTX,N,1956,M-5,D-23,W-2,674
RQ,PJT,TVQ,N,1201,M-5,D-12,W-5,2182
HH,HSR,TCJ,N,918,M-1,D-24,W-1,654
I9,RJB,QTX,N,704,M-6,D-16,W-5,862
NB,OMH,UGR,N,1720,M-9,D-11,W-1,1073
HH,RJB,CBT,Y,1550,M-1,D-16,W-1,1013
TP,PJT,HBV,N,1534,M-6,D-14,W-3,956
NB,VWP,ORN,N,735,M-9,D-2,W-5,1440
JG,TVQ,MLT,N,1256,M-8,D-21,W-7,106
TT,RIN,QTX,N,747,M-9,D-26,W-2,1235
TT,HSR,RIN,Y,1812,M-7,D-13,W-4,802
NB,ORN,PVQ,N,752,M-7,D-5,W-2,251
IQ,RIN,TVQ,Y,1307,M-6,D-10,W-6,732
WT,HSR,QTX,N,1755,M-5,D-23,W-2,1745
HL,OPU,MGF,N,1415,M-7,D-3,W-1,596
BN,OPU,PIH,N,901,M-7,D-24,W-1,1589
WP,RMT,VUT,N,823,M-9,D-11,W-7,814
BN,RVN,FPU,N,1705,M-9,D-17,W-6,508
IQ,MTE,OMH,N,1735,M-12,D-20,W-2,860
NB,CBT,OMH,N,625,M-12,D-20,W-3,616
TT,OYT,RMT,Y,1009,M-1,D-23,W-7,920
RQ,CBT,TVQ,N,1114,M-11,D-5,W-7,214
OZ,HSR,OJO,N,819,M-10,D-30,W-7,491
XJ,TVQ,MQJ,Y,2051,M-12,D-28,W-3,554
I9,PVQ,RJB,Y,1441,M-11,D-22,W-2,770
C6,DIE,IQQ,N,2108,M-2,D-17,W-4,1069
OZ,RIN,QCC,N,1926,M-6,D-24,W-6,282
TP,TBM,URX,N,748,M-8,D-13,W-7,1542
BN,OPU,HSR,N,2115,M-1,D-3,W-2,334
HH,PQM,MUS,N,2047,M-4,D-21,W-5,320
XJ,QFT,MQJ,Y,2237,M-6,D-16,W-4,418
NB,UCY,CNY,Y,2005,M-8,D-30,W-2,883
OZ,PUP,RIN,N,703,M-5,D-16,W-2,113
MH,SRW,YTL,N,614,M-3,D-19,W-6,1043
I9,RJB,RMT,N,1629,M-9,D-8,W-5,1476
IQ,TVQ,UYV,N,2255,M-2,D-11,W-6,526
TT,RIN,LBQ,N,1159,M-11,D-5,W-6,3784
HL,MGF,FPH,Y,846,M-12,D-12,W-1,330
BN,QTP,YBR,N,946,M-8,D-4,W-4,1591
XJ,CBT,YTL,N,1607,M-1,D-6,W-5,657
OZ,SRW,CHP,N,1640,M-11,D-13,W-7,612
TT,RIN,ULQ,N,629,M-4,D-4,W-2,1302
TP,URX,QTX,N,707,M-3,D-7,W-1,834
AG,RJB,JFJ,Y,1331,M-1,D-22,W-7,121
NB,CNY,OMH,N,720,M-5,D-26,W-4,787
LT,EHT,LBQ,N,1532,M-3,D-26,W-6,163
WT,QTX,EHT,N,1621,M-3,D-10,W-5,2504
NB,RTQ,QCC,N,1520,M-3,D-29,W-2,293
WT,HSR,TVQ,N,1334,M-1,D-7,W-6,606
HL,YTL,MGF,Y,1605,M-7,D-13,W-3,871
WP,RMT,DTX,N,1349,M-8,D-4,W-4,634
JG,TVQ,MSN,Y,1340,M-11,D-11,W-6,363
HH,PQM,VWP,N,1651,M-7,D-14,W-5,601
OZ,MOL,CHP,N,1933,M-8,D-8,W-1,640
LT,LBQ,YVH,N,1611,M-10,D-19,W-3,216
OZ,RIN,VAP,Y,847,M-10,D-21,W-6,772
TT,RIN,SYM,N,934,M-8,D-12,W-6,1158
NB,OPA,VUT,N,1145,M-2,D-13,W-1,487
VK,QFT,ORN,N,800,M-4,D-15,W-6,725
NB,MOL,PVQ,N,1715,M-10,D-19,W-3,410
MH,JNS,RMT,Y,1916,M-10,D-27,W-4,199
JG,TVQ,OPA,Y,1239,M-1,D-24,W-2,425
NB,SBH,QTP,N,1017,M-7,D-3,W-1,345
TT,QFT,VUT,N,715,M-9,D-2,W-6,1011
TT,CHP,OYT,Y,1430,M-3,D-9,W-3,1258
RL,UNO,YTR,N,1704,M-5,D-29,W-7,494
OZ,HSR,MQJ,Y,2213,M-2,D-18,W-6,316
WT,JNS,HSR,N,736,M-11,D-29,W-2,719
RQ,OMH,TVQ,N,707,M-6,D-29,W-4,403
IQ,MTE,QFT,N,751,M-10,D-6,W-4,396
IQ,SRW,TVQ,N,1604,M-12,D-23,W-5,356
BN,RVN,OPB,Y,2300,M-9,D-27,W-3,312
IQ,TVQ,RVN,Y,2045,M-5,D-11,W-4,594
OZ,HSR,MGF,N,651,M-1,D-7,W-5,264
RQ,PIH,CHP,N,1121,M-12,D-10,W-6,2704
WT,POI,RJB,N,742,M-8,D-23,W-2,910
C6,DIE,TWP,N,1330,M-2,D-21,W-2,1522
HH,QTX,PTB,N,1640,M-9,D-22,W-4,109
RQ,OYT,TVQ,N,1725,M-10,D-16,W-7,595
TP,URX,TBM,N,1613,M-8,D-24,W-3,1542
BN,OPU,TCZ,N,1135,M-5,D-25,W-3,981
WP,PTB,ULQ,N,1118,M-7,D-3,W-1,2369
NB,LHW,CBT,N,945,M-6,D-19,W-7,670
OZ,CRQ,SRW,N,1249,M-10,D-12,W-4,532
WP,ULQ,MQV,Y,1002,M-5,D-20,W-5,448
NB,QTP,URX,Y,1445,M-3,D-28,W-1,762
MH,CHP,JNS,Y,1725,M-11,D-30,W-3,200
TT,RIN,UPU,Y,1053,M-1,D-23,W-1,1126
WP,RMT,IQQ,N,728,M-10,D-15,W-6,899
IQ,TVQ,PTG,N,908,M-4,D-20,W-3,215
WT,RIN,RJB,N,1756,M-3,D-28,W-1,641
RQ,TVQ,MLP,N,1654,M-6,D-5,W-1,259
I9,TBM,RJB,Y,2325,M-6,D-1,W-3,2406
RQ,OQC,TVQ,N,1404,M-7,D-10,W-7,443
IQ,CHP,ORN,N,1319,M-11,D-4,W-6,861
XJ,YTL,QCC,Y,1759,M-6,D-7,W-2,458
I9,RJB,ULX,N,1714,M-11,D-26,W-7,602
NB,MOL,VUT,Y,1831,M-10,D-2,W-1,829
RQ,UPM,PQM,Y,1321,M-1,D-1,W-6,521
TT,CHP,HSR,N,1959,M-4,D-26,W-3,867
TT,ULQ,RIN,N,1340,M-4,D-25,W-1,1302
AG,ULX,IQF,N,1800,M-6,D-13,W-2,119
IQ,CNY,TVQ,N,1220,M-12,D-11,W-1,576
MH,YTL,POI,N,929,M-7,D-22,W-6,1609
HL,QFT,SRW,Y,1855,M-12,D-26,W-1,431
JG,LUB,TVQ,Y,730,M-12,D-23,W-6,780
WT,RMT,HSR,N,1237,M-8,D-17,W-3,612
NB,VUT,PTV,N,1430,M-1,D-24,W-1,972
NB,DTX,IQQ,N,1245,M-4,D-26,W-3,318
IQ,UYV,OMH,N,812,M-3,D-12,W-7,834
NB,QTP,ULX,N,910,M-9,D-25,W-7,256
HH,PIH,CHY,N,1543,M-10,D-19,W-3,522
NB,POI,QTX,N,900,M-10,D-29,W-7,373
RL,YTR,SHM,N,1848,M-2,D-26,W-6,289
C6,HTE,DIE,N,849,M-5,D-31,W-2,2576
NB,LHW,IQQ,N,2025,M-1,D-28,W-5,957
OZ,PCT,QTX,N,1105,M-5,D-20,W-5,89
BN,RVN,SRW,N,1039,M-3,D-27,W-7,501
NB,QCC,QTP,N,1037,M-11,D-7,W-2,775
BN,RVN,ULQ,Y,716,M-1,D-3,W-2,453
NB,QTX,HTE,N,1710,M-4,D-10,W-7,337
IQ,CNY,RTA,N,1041,M-11,D-27,W-7,406
BN,QTP,OPU,N,1632,M-9,D-12,W-1,1300
WT,YTR,URX,N,1824,M-5,D-1,W-1,2327
HH,UYV,HSR,N,929,M-5,D-13,W-6,412
RL,YTR,HSR,N,1521,M-12,D-18,W-7,589
MH,JNS,PBT,N,837,M-6,D-15,W-4,2433
BN,OPU,FSS,N,657,M-2,D-4,W-5,408
TT,PVQ,RTQ,N,601,M-11,D-7,W-2,546
OZ,PTB,PDM,N,1903,M-10,D-30,W-7,417
WP,MQV,VUT,N,2109,M-7,D-3,W-7,508
WP,QTP,HTE,N,5,M-5,D-7,W-7,407
BN,RJB,RVN,N,1456,M-6,D-23,W-5,1123
XJ,YTL,CHY,N,1754,M-6,D-25,W-6,1482
HH,MUS,RJB,N,1551,M-9,D-2,W-6,230
XJ,YTL,PVQ,N,1613,M-10,D-27,W-5,668
HH,CWS,PIH,Y,1244,M-9,D-29,W-4,326
IQ,TVQ,MQV,Y,1614,M-11,D-22,W-2,227
RQ,PAS,TVQ,N,612,M-9,D-3,W-7,793
OZ,RIN,PLG,N,925,M-4,D-10,W-1,190
NB,CWI,CNY,N,1125,M-12,D-14,W-3,281
TT,HSR,UCY,N,928,M-5,D-6,W-6,1144
RQ,TVQ,RVN,N,1028,M-2,D-23,W-3,594
OZ,CHP,SRW,N,1554,M-4,D-14,W-4,612
WP,UCY,ULQ,Y,2237,M-2,D-17,W-4,951
NB,VUT,CNY,N,643,M-10,D-5,W-4,842
XJ,JNS,LPG,N,925,M-1,D-7,W-5,806
LT,LBQ,HFF,N,519,M-12,D-21,W-3,100
XJ,SRW,JNS,Y,1543,M-1,D-5,W-3,416
NB,SBH,HTE,Y,1828,M-12,D-22,W-4,180
TT,RIN,TWP,Y,1626,M-11,D-25,W-5,190
BN,OJO,OMY,N,833,M-1,D-5,W-4,392
LU,ULX,OPU,N,846,M-5,D-10,W-2,1276
HH,OVD,RJB,N,632,M-2,D-5,W-7,197
XJ,YTL,ULX,N,2249,M-6,D-1,W-4,1009
